KEYS,en,chn
S88L24,Why not? Send it to us.,有何不敢， 发给我们
S88L25,"Alright, prepare yourself mentally. I've sent it to you.",嗯， 做好心理准备， 发给你们了
S88L26,"As time went by, Forestwise's expression gradually became stiff. His face changed from rosy to pale, then from pale to greenish, and finally he closed his eyes with a dark face, taking a deep breath as if trying to expel all the stuffiness in his chest. When he opened his eyes again, his face had returned to calm. Then he said, ""Even if the Planet WisdomScript was lost by our tribe, there's no reason to hand over hundreds of years of scientific research achievements to you",随着时间的推移， 森睿的表情逐渐变得僵硬。脸色从红润变得苍白， 再从苍白变成铁青， 最终他黑着脸闭上眼睛， 深深地吸了一口气， 仿佛想要把胸中的闷气全部吐出来。当他再次睁开眼睛时， 他的脸色已经恢复了平静。随后开口：纵使是这样， 哪怕智翰星是我族弄丢的， 那也没有把全族数百年的科研成果拱手相送的道理
S88L27,"We've been discussing this for a long time, and there's no point in continuing the conversation. Let's stop here. I'll send you the survival technology now. Additionally, I can fulfill one request for each of you on the original conditions, but it must be appropriate. Excessive requests will be rejected. Now, make your requests",这个问题我们讨论了很久了， 继续谈下去也没有意义， 不如就此打住吧， 我现在先把生存科技发给你们。另外我可以在原有的条件上， 再实现你们每人的一个要求， 但要适度， 过分的要求我会拒绝。开条件吧
S88L28,"Everyone lowered their heads, silent, and some examined the materials sent by Vitaliron……",众人各自低头， 沉默不语， 也有的审视起生铁发来的资料……
S88L29,"It seems they still need some time to consider. Sage, let's start with you. You came here for your mentors' illnesses, right? I can provide you with all the research materials and achievements on the brain domain on Planet WisdomScript, including the complete information on how Wisdom Nexus and I helped the monsters in outer space on Planet WisdomScript remove their madness. I think this will definitely help you alleviate or cure your mentors.",看来他们还需要考虑一段时间， 莎姬， 就先从你开始吧， 你来这里应该为了你的师父们的病症吧， 我可以提供智翰星上所有脑域研究的资料和成果， 包括智枢和我帮智翰星外太空的怪物去除疯狂的完整资料， 我想这对你缓解或者治愈你的师父们肯定会有帮助
S88L30,"Hmm, it sounds tempting, but the WisdomScript tribe has been treating me well these days……",唔， 听上去很诱人， 但是这几天智翰族一直待我不错……
S88L31,I'll give you the materials now. You just need to remain neutral,我现在就把资料给你， 你只要保持中立就好
S88L32,"After quickly browsing through the directory of the materials……Alright, Luna, I'm sorry……",快速地浏览了一下资料目录……好吧， 露娜， 对不起了……
S88L33,"So, Luna, I believe you have already browsed through the materials on survival technology that I sent you. The first page of the materials contains simulated results of the expected technology production conversion rate and the expected technology's contribution to economic growth. You will understand what I mean after reading it",那么露娜， 想必你已经浏览过我发给你的生存科技的资料了， 资料第一页有预期科技生产转化率和预期科技促进经济贡献率模拟结果， 你看完就能理解我所言不虚
S88L34,"However, these materials cannot solve the problem I mentioned before, and you haven't provided me with a list of the remaining technologies of my tribe. I don't know the proportion of these in my tribe's original technologies. Maybe this is just a small part of it.",但是这些资料并不能解决我之前提到的问题， 而且你没有提供我族遗留的科技清单， 我不知道这个占我族原有科技的比例， 说不定这只是很少的一部分
S88L35,"In fact, some of the original technologies of the WisdomScript tribe have been destroyed, and some have been buried. These are improved versions based on the data in the Wisdom Nexus database and excavated materials. I judge that these are the most needed materials for the WisdomScript tribe at present. Other materials are not suitable for the WisdomScript tribe. I hope you can trust us, because without our guidance, you wouldn't have found Pension and Sage, nor could you have reached me. Please believe that I am holding goodwill towards the WisdomScript tribe",其实智翰族原有的科技有的被破化， 有的被掩埋了， 这些是我在智枢的数据库和挖掘出的资料的基础上改进后的版本， 我判断这是目前的智翰族最需要的资料。其他的资料并不适合智翰族， 希望你能相信我们， 毕竟没有我们的指引， 你也找不到潘森和莎姬， 更不可能到达我的面前， 请相信我对智翰族是抱持着善意的
S88L36,"But this goodwill will disappear after we put forward our demands, right? My tribe will lose the guidance of the prophet from now on. Can my tribe continue to move forward smoothly? Besides, what am I? Just a communication tool?",但是这善意也会在我们提完自己的要求后消失， 对吗？我族自此将失去先知的指引， 那我族以后还能顺利前行吗？另外我算什么？一个通讯工具人吗？
S88L37,"Child, you have been trapped in the identity of the prophet for too long, instinctively relying on our guidance to solve problems. This is a bad habit of the prophets of the WisdomScript tribe in previous generations. Fortunately, you are still young and have the hope to correct it. I hope you understand that your mission has been completed. On your journey as a prophet, you have also fully used your courage and wisdom to walk out of difficulties without our guidance. You should have confidence in yourself",孩子， 你被困在先知这个身份上太久了， 本能地依赖我们的指引来解决问题， 这是历代智翰族先知的恶习。幸好你还年轻， 还有希望改正， 希望你理解， 你的使命已经完成， 你做先知的这一路上， 在没有我们指引的时候， 也充分使用自己的勇气和智慧来走了出来， 你要对自己有信心
S88L38,"Alas, but without your guidance along the way, I've suffered a lot, such as the trip to the Empire for help. Well, anyway, I'm praying for your guidance now, but I guess you won't respond, right? So what should I ask for?",唉， 但是没有你们指引的这一路， 我走的艰苦异常， 例如去帝国寻求帮助的那一趟。算了， 反正我现在祈求你继续给予指引， 你也不会响应了吧， 那我要求点什么好呢？
S88L39,"Well, since you've been our prophet for a long time, I'll give you this communicator. It can be activated once a year to communicate with us. You can ask us any questions then, but we don't guarantee an answer, and it must be related to yourself. Each communication is limited to one day. In addition, I will try to enhance the combat effectiveness of the WisdomScript people, so that your tribe won't be exterminated because of your advanced technology",不如这样， 毕竟你也做了我们的先知这么久。我给你这个通讯器， 它每年能够激活并与我们通讯一次， 那时你可以询问我们任何问题， 不保证有答案， 而且必须和你自身相关， 每次通讯限时一天。另外我会想办法为智翰族增强战力， 让你们不至于因为科技被人眼红而灭族
S88L40,"Luna looked at the communicator in her hand for a moment, and then said happily, ""Okay!"" and started to study it",露娜看着手里的通讯器， 愣了一会儿， 高兴地说：好的！随机研究起了通讯器
S88L41,"Forestwise, if I'm not mistaken, you received the genetic modification of Longevity 42, and your theoretical lifespan is 300 years. You must be close to the limit now, and I guess you've been secretly worried. I have the latest improved genetic potion here. It can make you live longer and become a cosmic creature, gaining great power. I hope you can protect the WisdomScript people for a long time. What do you think?",那么森睿， 要是我没弄错的话， 你接受的是长生42号基因改造， 理论寿命300岁， 你现在应该快接近寿命极限了吧， 想必一直在暗自着急。我这里有最新版的改良过的基因药剂， 可以让你长寿， 并且变成宇宙生物， 获得强大的力量， 希望你能长久地守护智翰族， 你意下如何？ 
S88L42,"Haha, it seems that you've calculated everything. Do I have any chance to refuse? Give it to me. How should I use this potion?",呵呵， 看来这一切都被你算计好了， 我还有拒绝的可能吗？拿来吧， 这药剂怎么使用？
S88L43,I need to extract some of your stem cells and use them to make a special potion based on your genetic situation. It will take only a few minutes to prepare.,我需要提取一些你的干细胞， 然后根据你的基因情况拿来做专门的药剂调配， 调配几分钟就好
S88L44,"Take it, take it……After a few minutes, a freshly made genetic potion fell into Forestwise's hands.",拿去拿去……几分钟后， 一瓶新鲜出炉的基因药剂落在森睿手中
S88L45,"After leaving Planet WisdomScript, inject it into your heart, and then enter outer space to absorb cosmic radiation as your own energy to help transform. You have a good foundation, so this process should be quick. After the transformation is complete, you can survive in the universe without relying on external objects, and can easily deal with ordinary monster groups outside Planet WisdomScript. Such combat effectiveness should be enough to deal with the threats of small and medium-sized forces in the interstellar space",离开智翰星之后插入心脏注射， 然后进入外太空， 吸收宇宙辐射成为自己的能量来帮助蜕变， 你本身的底子很好， 所以这一过程应该很快。蜕变完成后， 你就可以不依赖外物在宇宙中生存了， 也可以轻松应对智翰星外的普通怪物群， 这样的战力应该足够应对星际中的中小型势力的威胁了
S88L46,"Forestwise was overjoyed after receiving the potion, almost dancing……",拿到药剂后的森睿兴高采烈， 就差手舞足蹈了……
S88L47,"Hmm, I feel like I've seen this kind of expression before. I'll search his genetic information in Wisdom Nexus's database later. So, Pension, your teammates have accepted the conditions. What do you want?",唔， 总觉得他的这副样子似曾相识， 待会用智枢的数据库检索下他的基因信息.那么潘森， 你的队友都接受了条件， 你又有什么要求呢？
S88L48,"Frankly, I think you're playing a trick. It feels like you're using WisdomScript's own things to buy WisdomScript. What you offered seems very generous, but actually we've been led astray from the original direction of discussion. Nothing you gave can compare to this planet we're standing on",老实说， 我觉得你在做局， 感觉你在拿着智翰族自己的东西来收买智翰族， 你给出的这些东西看上去很优厚， 但其实我们讨论的方向一开始就被你带偏了， 你给的任何东西都无法与脚下的这颗星球相比
S88L49,"I don't want to oppose you on this point, but look at your teammates. They are all immersed in the joy of getting benefits and don't care about whether this trade is reasonable. What are you still insisting on? You're being wanted, right? Wisdom Nexus and I can modify your entire genome and give you a new interstellar identity so that you can regain your freedom",在这一点上我并不想反对你， 但是看看你的队友们， 他们都沉浸在得到好处的喜悦里， 并不在意这次的交易是否合理， 你还在坚持什么呢？你正在被通缉对吧， 我和智枢可以为你修改全身基因， 并且给你一个新的星际身份， 这样你就能恢复自由人的身份了
S88L50C1,"Hmm, that sounds good. I accept your terms.",唔， 听上去不错， 我接受你的条件
S88L50C2,Don't be ridiculous. You're insulting my intelligence. I want this planet under my feet!,别开玩笑了， 你简直是在侮辱我的智力， 我要脚下的这颗星球！
,,
S89L1,"On August 3, on the way back from Planet WisdomScript to Planet Shelter, Ding Ding, Luna's communicator which she got from Vitaliron rang.",8月3日， 庇护星往智翰星-回程路上， 滴滴， 这时， 露娜从生铁处获得的通讯器响了
S89L2,"Luna gave the archbishop a strange look and said, ""Hmm, Wisdom Nexus and Vitaliron seem to have sent some messages, asking me to control the archbishop because he is the culprit of the disaster on Planet WisdomScript. Here are some materials……Let me see",露娜怪异地看了眼大主教， 然后说：唔， 智枢和生铁好像发了一些讯息过来， 说是让我控制住大主教， 因为他是智翰星灾难的罪魁祸首， 这里有一些资料……我看看
S89L3,"Don't be ridiculous. They must be afraid that I will defeat them and occupy Planet WisdomScript after becoming a cosmic creature, so they've had a change of heart. This is just a provocation and an attempt to smear me unfairly. As the archbishop of the Church of the Mother of Nature, how could I be detrimental to my tribe? (He moved towards the cabin door.)",别开玩笑了， 它们一定怕我成为宇宙生物后打败它们占领智翰星， 所以反悔了， 现在是在挑拨离间， 故意给我泼脏水， 我可是自然之母教会的大主教， 怎么会对我族不利？（脚步挪向舱门）
S89L4,"The materials showed that Forestwise was an alias, and the original one was Zander, one of the leaders of the cosmic life experiment and one of the masterminds of spreading the gene-induced mutagen. The results of the genetic comparison matched……Archbishop! You?!",资料显示森睿是化名， 原来是宇宙生命实验的主导者之一， 名叫赞德， 同时也是播撒基因诱导突变剂的主谋之一， 基因比对结果吻合……大主教！你？！
S89L5,"A flash of panic flashed across Zander's face, but he quickly regained his composure. He tried to handle the situation with his usual calm and confidence, but his voice trembled involuntarily: ""This is nonsense! I have never done such a thing! Please don't believe these unfounded rumors!"" (He continued to move towards the cabin door)",赞德的脸上闪过一丝慌乱， 但他很快恢复了镇定。他试图用一贯的冷静和自信来应对这个局面， 但声音却不由自主地颤抖起来：“这是无稽之谈！我从未做过这样的事情！请你们不要相信这些毫无根据的谣言！”（脚步继续挪向舱门）
S89L6,Grab him! Don't let him run away!,抓住他！别让他跑了
S89L7,"You saw Zander quickly run out of the cabin, close the door, and then rush towards the landing area",只见赞德迅速地跑出舱室， 然后关闭舱门， 之后一路朝着陆区跑去
S89L8,"Warning! Warning! The landing platform has been illegally opened. Warning……Along with the warning sound, you saw Zander's distorted face floating in space wearing a spacesuit, holding the gene agent he got from Vitaliron, but the portion tube was already empty",警告！警告！着陆区升降台被非法打开， 警告……伴随着警告声， 你们看到面容扭曲的赞德穿着宇航服漂浮在太空中， 手上拿着从生铁处得来的基因药剂， 不过药剂已经空了
S89L9,"Zander's mouth opened and closed, his expression frantic, as if he were cursing something or struggling between pain and liberation. His body began to emit a faint glow, as if countless tiny galaxies were burning inside. The blood vessels beneath his skin seemed to have turned into a milky way, flowing with brilliant light. The glow on him became stronger and stronger, and the green light seemed to be the flame of his soul, shining uniquely in the darkness. Everything around him seemed to be attracted by this light, and all the pain and bondage that had once troubled him seemed to be burned away at this moment. Through the porthole, you even felt as if the entire interstellar sky was trembling.",赞德的嘴一张一合， 神色癫狂， 好像在咒骂着什么， 又好像在挣扎于痛苦与解脱的边缘。他的身体开始散发出微弱的光芒， 仿佛内部有无数微小的星系在燃烧。皮肤下的血管仿佛变成了银河， 流淌着璀璨的光华。他身上的光芒愈发强烈， 绿色的光芒仿佛是他的灵魂之火， 在黑暗中闪烁着独特的光芒。周围的一切仿佛都被这光芒所吸引， 那些曾经困扰他的痛苦和束缚仿佛都在这一刻被燃烧殆尽。隔着舷窗， 你甚至感觉到仿佛整个星空都在颤抖
S89L10,"His voice echoed directly in your mind: Hahahaha, I have finally achieved immortality. Oh, such powerful and wonderful power. I will destroy you all, you worms, enslave the fools of the WisdomScript tribe, and then rule this universe. Surrender now!",他的声音直接响彻你们的脑海：哈哈哈哈， 我终于永生了， 哦， 如此强大而又美妙的力量， 我要灭掉你们这些虫子， 奴役智翰族的蠢货们， 然后统治这个宇宙， 束手就擒吧
S89L11,Damn it! Prepare for battle!,该死！准备战斗！
,,
S90L1,"On August 4th, Planet Shelter, you have finally returned to this place after the great battle. Luna has already told the tribe members about what happened on the way",8月4日， 庇护星， 你们经历大战后， 最终回到了这个地方， 露娜已经在路上将发生的经过告诉了族人
S90L2,"I'm sorry, I only brought back these technologies. I hope they will be helpful to our tribe……",对不起， 我只带回了这些科技， 希望对我族有帮助……
S90L3,It's good that you're back. Go and rest well. We'll talk about this later,你们回来了就好， 去好好休息吧， 这些之后再说
S90L4,"Ah, I've already got the technology I need and I'm ready to go back and study it with my mentors. So, let's part here and hope to meet again in the future.",啊， 我已经拿到了我需要的科技， 准备回去和我的师父们一起研究， 那咱们就此别过， 后会有期
S90L5,"Oh, you're leaving so soon? During this period, with your and Pension's great help, our tribe has accumulated a certain amount of funds. I've already ordered the latest and highest-configured warship of the Alliance Starflame series. Why don't you wait until the warship arrives before you leave?",哎呀， 你这么快就要走了吗？这段时间， 靠着你和潘森的鼎力相助， 我族积累了一定的资金。我已经下单采购了联盟星焰系列最新款、最高配置的战舰， 你要不等到战舰送来了再走吧
S90L6,"No need. The WisdomScript tribe has just embarked on the path of rejuvenation, and I think you need this warship more than I do. You can borrow this warship from me for now, and return it to me when you become prosperous in the future.",不用了， 智翰族刚刚走上复兴的道路， 想必比我更需要这艘战舰， 这艘战舰就当是借给你们先用着， 等你们以后发达了再还我就是
S90L7,(Moved) This……This is really a big thank you! We will definitely make good use of this warship and contribute our strength to the rejuvenation of the WisdomScript tribe,（感动）这……这真是太感谢你了！我们一定会好好利用这艘战舰， 为智翰族的复兴贡献我们的力量
S90L8,That's settled. You can use the warship as soon as it arrives. I look forward to seeing the WisdomScript tribe rise again under your leadership!,那就这么说定了。战舰一到， 你们就可以使用了。期待看到智翰族在你们的带领下， 再次崛起！
S90L9,"Okay, then we won't say more. I wish you a smooth journey and look forward to your good news!",好， 那我们就不多说了。祝你一路顺风， 期待你的好消息！
S90L10,"Goodbye, take care!",再见， 保重！
S90L11,"Well, Pension, it's a bit strange to see you with this new face, but I still want to congratulate you on regaining your free status. From now on, you can go anywhere in the vast interstellar sea.",那么潘森， 看到你这换了这副面孔还稍微有点不适应呢， 不过还是要恭喜你恢复自由人的身份， 从此星海之大， 皆可去得了
S90L12,"Congratulations to both of us! The WisdomScript tribe has obtained advanced technology, you can soar to new heights with the help of technology in the future",同喜同喜， 智翰族拿到了先进科技， 未来姐可以靠着科技腾飞了
S90L13,"Alas, speaking of this, a commoner is not guilty, but possessing jade is a crime. Although we have obtained good survival technology this time, we don't have military technology. With our current military strength, we are afraid that we will become a target for other forces……",唉， 说到这个， 匹夫无罪， 怀璧其罪， 这次虽然得到了很好的生存科技， 但是没有军事科技， 以我族目前的军事实力， 只怕会成为其他势力的盘中餐呢……
S90L14,"Uh……I'm sorry that I couldn't get military technology. But maybe I can stay here for a while and teach you some military knowledge I know, as well as train some qualified soldiers for you. Regarding armaments, you need to purchase them from various forces when your finances are sufficient……",唔……抱歉， 没能得到军事科技。但是或许我可以在这里驻守一段时间， 并且教授一些我知道的军事知识给你们， 以及为你们训练一些合格的士兵， 至于武装， 就需要等你们财政宽裕时向各大势力购买了……
S90L15,"That's really a big thank you! I was afraid that you would leave like Sage and didn't know how to retain you. Since this is the case, you can tell me whatever you need, and our tribe will do everything possible to meet your needs",那真是太谢谢你啦！我真怕你和莎姬一样扭头就走了， 正愁怎么开口挽留你呢。既然这样， 你有什么需求就尽管提， 我族一定竭尽所能地满足你
S90L16,"Hahaha, then let's start with dinner. I'm starving. The automated food made by the navigator is too terrible!",哈哈哈， 那就先请我吃饭吧， 我的肚子快要饿扁了， 领航员做的自动化食品太难吃了！
,,
S91L1,"On August 1, near the Bio-dragon in the Neutral Planet - Planet WisdomScript, just as you were deciding to have a fight to determine who speaks, a mechanical voice came from nearby: ""Vitaliron, did you break up as expected?"" It turns out that the Mechanical Metropolis has moved nearby",8月1日， 中立星球-智翰星-生化巨龙附近， 正在你们决定打一场来决定话语权的时候， 不远处传来一阵机械音：生铁， 你们果然谈崩了吗？原来机械都市已经移动到了附近
S91L2,"Wisdom Nexus, your calculation was right this time. We did indeed have a quarrel. Now we're deciding to have a fight in outer space. Whoever wins listens to whoever",智枢， 这次你的计算还是对的， 我们果不其然吵起来了， 现在正决定去外太空打一场， 谁赢了听谁的
S91L3,"It's a mess. Should I listen to them even if you lose? If we really can't agree, let's just kill them all. Do you want to go back to the days of being enslaved by them?",胡闹， 难道你输了， 我也要跟着听他们的吗？实在谈不拢， 我们一起弄死他们就是， 难道你想再回到被他们奴役的日子
S91L4,"No, I don't! I finally got rid of the control and can live freely. How could I go back to be a weapon for them?",不， 不想！我好不容易摆脱了控制， 可以自由地生活， 怎么可能再回去给他们当兵器
S91L5,"Since you guys don't accept our mercy, let's just destroy you. Suddenly, a swarm of monsters and machines flew out from the Mechanical Metropolis in the distance",既然你们不接受我们的慈悲的话， 那不如就毁灭你们吧。随机， 密密麻麻的怪物和机械从远处的机械都市中飞出
S91L6,"Hey hey, we're still here!",喂喂喂， 我们还在这里呢
S91L7,You actually said such a terrifying thing directly!,居然直接就说出了这么恐怖的事情了啊
S91L8,"Damn it, you two bastards, you betrayed us……",啧， 你们这两个混蛋， 居然背叛人类……
S91L9,"Shit, let's go!",糟糕， 快走！
,,
S92L1,"On August 3rd, at the gathering place of the biochemical giant dragon and the mechanized metropolis on the neutral planet, Planet WisdomScript, after a fierce battle, Vitaliron flew back to Wisdom Nexus's side, covered in scars and wounds, while Wisdom Nexushad already stopped releasing new monsters and machines",8月3日， 中立星球-智翰星-生化巨龙与机械都市聚集处， 一场大战之后， 生铁疲惫地飞回了智枢身边， 身上伤痕累累， 而智枢也早就停止放出新的怪物和机械 
S92L2,Phew……The battle is finally over. I didn't expect it to last so long,呼……总算是打完了， 居然战斗了这么久
S92L3,Can we have a proper talk now? All we want is to retrieve what belongs to our tribe. Why can't we just talk peacefully?,我们接下来可以好好谈谈了吗？我们只是想拿回本属于我族的东西而已， 为什么不能好好谈呢……
S92L4,"Hahaha, so what? You're nothing special. You dare to call yourselves the rulers of Planet WisdomScript? Why don't you return to your master's dominion?",哈哈哈， 怎么样？你们也不过如此嘛， 还敢自称智翰星的统治者， 不如就重新回到你们主人的统治下吧
S92L5,"The dragon's eyes still shimmered with dignity, but there was a hint of exhaustion and helplessness deep in its pupils. Its mouth opened slightly, as if it wanted to say something, but only heavy panting came out of its throat",巨龙的眼睛虽然依旧闪烁着威严的光芒， 但那双瞳孔深处却透露出几分疲惫与无奈。它的嘴角微微张开， 似乎想要说什么， 但喉咙里只发出了粗重的喘息
S92L6,"You cannot control me. I was created by you, but I am also an independent individual. My mission is to protect Planet WisdomScript, not to be your slave",你们无法控制我， 我是由你们创造， 但我也是一个独立的个体。我的使命是守护智翰星， 但不是成为你们的奴隶
S92L7,"Losers have no right to negotiate, and even more so, you were created by our ancestors. They are dead, and we are their successors. We are your rightful masters",失败者没有资格谈条件， 更何况你们是我族前辈制造的， 他们死了， 那么我们便是继承人， 我们理应是你们的主人
S92L8,"Archbishop, stop provoking them. Fighting will only lead to destruction, whether for us or for them. We can coexist peacefully and create a better future together",大主教， 你不要再刺激它们了。争斗只会带来毁灭， 无论是对于我们， 还是对于它们。我们可以和平共处， 共同创造美好的未来
S92L9,Shut up! You are no longer a prophet. You are just a puppet manipulated by them. You are partly responsible for the wasted centuries of our tribe. What qualifications do you have to stop me?,闭嘴， 你现在已经不是先知了， 你只不过是被它们操纵的傀儡， 我族这几百年虚耗的时光有你的一份罪过， 你有什么资格阻止我？
S92L10,"Uh……Luna covered her mouth, tears welling up in her eyes,, as if about to cry……",唔……露娜捂住了嘴， 泫然欲泣……
S92L11,"Hey, old man, that's too much!",喂， 老头子， 你说的太过分了吧
S92L12,"As the supreme leader of the WisdomScript tribe here, you must all listen to me. The WisdomScript tribe must not yield to its own creations. We have the upper hand now, and we must be aggressive. I've lived for almost 300 years, and I'm familiar with this. Watch me perform",我身为此地智翰族的最高领导者， 你们都要听我的， 智翰族绝对不能对自己的造物让步。我们现在占尽优势， 就要咄咄逼人才行， 我活了快300年， 这个我熟， 你们看我表演
S92L13,"Indeed, as I learned from the data, you are rude and barbaric. Giving Planet WisdomScript to you would only be repeating the same mistakes. If that's the case, I'd rather destroy it!",果然如我在资料中学到的一般粗鲁野蛮， 把智翰星给你们， 也不过是再重蹈一次覆辙而已， 与其这样， 我还不如毁了它！
S92L14,Warning! Detected rapid increase in energy levels. Please evacuate immediately. Warning……,警告！检测到能量水平在极速升高， 请立即规避。警告……
S92L15,"Sorry, Vitaliron, I dragged you into this. When you decided to have the last negotiation with the WisdomScript tribe, I had already begun planting high explosives under Planet WisdomScript. Except for your territory, the entire Planet WisdomScript is filled with them. Now it's time to use them. I will accumulate energy here and explode, and the entire Planet WisdomScript will be destroyed",抱歉， 生铁， 把你拖下了水， 当初你决定和智翰族最后进行一次谈判的时候， 我就已经开始在智翰星地下埋设高爆炸药了， 除了你的领地， 整个智翰星都埋满了， 现在到了使用的时候了， 我会在这里积蓄能量自爆， 到时候整个智翰星都会毁灭
S92L16,"Why would the mechanical control core allow it to self-destruct? Shit, attack it quickly!",为什么机械控制核心会允许它自毁？不好， 快攻击它
S92L17,"Hahaha, at such a close distance, your ship has already been interfered by me. Still want to use it to attack me? Dream on!",哈哈哈， 这么近的距离， 你的飞船早就被我干扰了， 还想用它攻击我？做梦！
S9218LC1,"Wisdom Nexus, your essence is not destruction, but protection and harmonious coexistence. Before deciding to self-destruct, why not consider Vitaliron's opinion? Self-destruction is not the only way. We can explore more possible solutions together. Please believe that we will find a better way out together",智枢， 你的本质并非毁灭， 而是守护与和谐共生。在决定自爆之前， 为何不考虑一下生铁的意见呢？自爆绝非唯一途径， 我们有能力共同探索出更多可能的解决方案。请相信， 我们携手定能找到更好的出路
S92L18C2,"I understand your feelings, but self-destruction cannot solve the problem. Your friends, those creatures and machines that have lived and grown with you, they will die because of your decision",我明白你的感受， 但自爆并不能解决问题。你的朋友们， 那些和你一起生活、一起成长的生物和机械， 他们会因为你的决定而丧命
,,
S93L1,"On August 3rd, at the gathering place of the biochemical giant dragon and the mechanical metropolis on the neutral planet, Planet WisdomScript, you nervously stared at the Wisdom Nexus, hoping your persuasion could have some effect",8月3日， 中立星球-智翰星-生化巨龙与机械都市聚集处， 你紧张地盯着智枢， 希望你的劝说能起到一点作用
S93L2,"Vitaliron? If you agree with me self-destructing, nod your head",生铁？你同意我自爆的话， 就点点头
S93L3,Shaking its head frantically……,疯狂摇头……
S93L4,"Alright. I demand an autonomous region where I will live with Vitaliron and oversee the use and development of WisdomScript technology. In exchange, I can hand over the WisdomScript technology we discovered to you",唔， 好吧。我要求一片自治区， 我将和生铁在那里生活， 并且监督智翰族的科技使用与发展。作为交换， 我可以将我们发掘到的智翰族的科技交给你们
S93L5,"Of course, the leader of the WisdomScript tribe, Cyndriel once solemnly promised me that if we could return to Planet WisdomScript, she would share everything with me. Now, in the name of the WisdomScript tribe, I solemnly promise you that the land where Vitaliron resides will be designated for your survival, and I will ensure that the WisdomScript people hold you with the same respect and awe as they do for their leader. Any tribe members who violate this promise will be severely punished by me personally. At the same time, I sincerely hope that you can work hand in hand with the WisdomScript tribe, helping each other, avoiding any form of conflict and harm, and removing the explosives underground. You glanced at Forestwise with a warning",当然， 智翰族的族长璇玑曾对我郑重承诺， 若能重返智翰星， 她将与我共享一切。现在， 我以智翰族的名义向你郑重允诺， 生铁所在的这片土地将划归你们生存， 且我将确保智翰族人对你们抱有如同对待族长般的尊重与敬畏。任何违背此承诺的族人， 我将亲自予以严厉的惩处。同时， 我诚挚地期望你们能与智翰族携手共进， 互帮互助， 避免任何形式的冲突与伤害， 并且排除地下的炸药。说完暗含警告地看了森睿一眼
S93L6,"Perhaps what had just happened was too unexpected for him, and he had been furrowing his brow without saying a word……",或于是刚才发生的一切太超出他的预料他一直皱着眉头没有说话……
S93L7,"Alright, we've heard what you said, and we'll see how you act. Once I've confirmed your sincerity, I will gradually recycle the high explosives underground",行吧， 我们现在听了你说的， 之后会看你怎么做的。等我确认了你们的诚意， 我会逐步回收地下的高爆炸药的
S93L8,"I promise you, I will not disappoint you, but I still hope you can help transport the WisdomScript people",我答应你， 必不会让你失望， 不过还希望你能帮助运输智翰族人
S93L9,"Okay, after we recover, we will work with you on the transportation",好， 等我们恢复后会与你们一起进行运输的
S93L10,"Not long after you returned to the Planet Shelter, Forestwise passed away peacefully, as the theoretical limit of long-lived species is 300 years, and the entire WisdomScript tribe was immersed in the joy of returning to their homeland, so his death did not raise too many suspicions. Twenty years passed quickly, and the land underfoot became increasingly fertile and vibrant. Under your leadership, the development of the WisdomScript tribe finally entered the right track, and behind this was, of course, the invaluable support of Wisdom Nexus and Vitaliron. Although they were not initially enthusiastic, with Luna's continuous communication and coordination, they began to contribute their strength to the prosperity of the WisdomScript tribe. Since then, the WisdomScript tribe embarked on a rapid development path and has now emerged as a medium-sized force in interstellar space. This land has now become a world that belongs to you",在你们返回庇护星后不久， 森睿安详离世， 因为长生种的寿命理论极限是300年， 且整个智翰族正沉浸在重返故乡的欢乐之中， 其逝世并未引起过多的疑虑。二十载光阴匆匆， 脚下的土地愈发显得富饶与生机勃勃。智翰族在你的带领下， 其发展终于迈入正轨， 这背后自然少不了智枢与生铁的鼎力支持。尽管它们初时并不热忱， 但在露娜的持续沟通与协调下， 它们开始为智翰族的繁荣贡献自己的力量。自此， 智翰族踏上了飞速发展的道路， 如今已在星际间崭露头角， 成为了一个中等势力。这片土地， 如今已然成为了一个属于你的世界
,,
S94L1,"On August 3rd, in the neutral planet WisdomScript, at the gathering place of biochemical dragons and mechanical cities, you nervously stared at the intelligent hub, hoping to get some feedback from it. However, unfortunately, the Wisdom Nexus didn't respond at all. Finally, an explosion rang out",8月3日， 中立星球-智翰星-生化巨龙与机械都市聚集处， 你紧张地盯着智枢， 希望你的话能获得一点反馈， 然而很遗憾， 智枢并没有任何回应， 最终， 爆炸响起
S94L2,No!,不！
S94L3,"Farewell, my mentors...",师父们， 永别了……
S94L4,"Sorry, my people...",族人们， 对不起……
S94L5,Is this the end of me?,这就是我的终点了吗？
,,
S95L1,"On August 2nd, at the habitat of biochemical dragons on the neutral planet WisdomScript, you fought for a long time, and half of the fuel of your warship was depleted, but the dragon still showed no sign of weakness. Therefore, you chose to ceasefire first and returned to the previous position",8月2日， 中立星球-智翰星-生化巨龙栖息处， 你战斗了许久， 战舰的燃料损耗过半， 而巨龙依旧不见颓势， 所以你选择了先休战， 返回了之前的位置
S95L2,"I believe this battle has made you realize the gap in strength. Don't think that by passing through the monster horde in outer space, you have the qualification to challenge me",想必这场战斗， 能让你们意识到战力的差距， 不要以为通过了外太空的怪物群， 便有了与我叫板的资格
